#V_d [V]    W_rms [V]   W_freq [Hz]
0.0         0.435       166
0.1         0.478       159
0.2         0.538       169
0.3         0.589       179
0.4         0.630       187
0.5         0.684       193
0.6         0.731       198
0.7         0.768       202
0.8         0.811       206
0.9         0.858       208
1.0         0.905       211
1.1         0.952       213
1.2         0.996       214
1.3         1.038       215
1.4         1.080       216
1.5         1.123       217
1.6         1.164       218
1.7         1.206       218
1.8         1.248       219
1.9         1.290       219
2.0         1.332       219
2.1         1.374       219
2.2         1.422       219
2.3         1.465       219
2.4         1.509       219
2.5         1.551       220
2.6         1.594       220
2.7         1.640       220
2.8         1.683       219
2.9         1.726       219
3.0         1.770       219
