#V_d [V]    W_rms [V]   W_freq [Hz]
0.1         0.356       220
0.2         0.322       189
0.3         0.366       174
0.4         0.435       183
0.5         0.491       191
0.6         0.541       198
0.7         0.584       203
0.8         0.626       207
0.9         0.671       210
1.0         0.715       212
1.1         0.760       214
1.2         0.805       216
1.3         0.853       217
1.4         0.898       218
1.5         0.943       219
1.6         0.989       220
1.7         1.035       221
1.8         1.081       221
1.9         1.127       222
2.0         1.174       222
2.1         1.220       223
2.2         1.267       223
2.3         1.315       223
2.4         1.361       224
2.5         1.408       224
2.6         1.455       224
2.7         1.501       224
2.8         1.548       224
2.9         1.594       224
3.0         1.641       225
