#V_d [V]    W_rms [V]   W_freq [Hz]
0.0         0.567       160
0.1         0.622       169
0.2         0.672       178
0.3         0.707       184
0.4         0.755       191
0.5         0.808       196
0.6         0.846       200
0.7         0.883       203
0.8         0.926       206
0.9         0.972       209
1.0         1.02        211
1.1         1.07        212
1.2         1.11        214
1.3         1.15        215
1.4         1.19        216
1.5         1.24        218
1.6         1.28        218
1.7         1.32        219
1.8         1.36        220
1.9         1.40        221
2.0         1.44        221
2.1         1.49        222
2.2         1.53        222
2.3         1.57        222
2.4         1.61        223
2.5         1.66        223
2.6         1.70        223
2.7         1.74        224
2.8         1.78        224
2.9         1.83        224
3.0         1.87        224
