#V_d [V]    W_rms [V]   W_freq [Hz]
0.0         0.448       166
0.1         0.473       160
0.2         0.523       169
0.3         0.584       179
0.4         0.647       187
0.5         0.693       193
0.6         0.716       200
0.7         0.737       204
0.8         0.761       208
0.9         0.786       210
1.0         0.811       212
1.1         0.837       213
1.2         0.850       211
1.3         0.850       211
1.4         0.83        212
1.5         0.82        214
1.6         0.80        216
1.7         0.79        219
1.8         0.77        221
1.9         0.75        223
2.0         0.74        225
2.1         0.73        227
#2.2         
#2.3         
#2.4         
#2.5         
#2.6         
#2.7         
#2.8         
#2.9         
#3.0         
