#V_d [V]    W_rms [V]   W_freq [Hz]
0.0         0.426       168
0.1         0.469       161
0.2         0.540       170
0.3         0.589       180
0.4         0.632       188
0.5         0.691       195
0.6         0.733       200
0.7         0.774       204
0.8         0.822       208
0.9         0.872       211
1.0         0.919       213
1.1         0.963       215
1.2         1.005       216
1.3         1.048       218
1.4         1.089       219
1.5         1.130       220
1.6         1.171       220
1.7         1.214       221
1.8         1.262       221
1.9         1.304       222
2.0         1.346       222
2.1         1.390       222
2.2         1.432       223
2.3         1.476       223
2.4         1.520       223
2.5         1.564       223
2.6         1.608       223
2.7         1.652       223
2.8         1.696       223
2.9         1.740       222
3.0         1.785       222
