#V_d [V]    W_rms [V]   W_freq [Hz]
0.0         0.153       235
0.1         0.197       238
0.2         0.242       239
0.3         0.288       238
0.4         0.335       237
0.5         0.382       236
0.6         0.428       235
0.7         0.475       235
0.8         0.522       234
0.9         0.568       233
1.0         0.615       232
1.1         0.659       232
#1.2         
#1.3         
#1.4         
#1.5         
#1.6         
#1.7         
#1.8         
#1.9         
#2.0         
#2.1         
#2.2         
#2.3         
#2.4         
#2.5         
#2.6         
#2.7         
#2.8         
#2.9         
#3.0         
