#V_d [V]    W_rms [V]   W_freq [Hz]
0.0         0.447       168
0.1         0.475       161
0.2         0.540       167
0.3         0.597       177
0.4         0.635       184
0.5         0.685       190
0.6         0.741       195
0.7         0.783       199
0.8         0.824       202
0.9         0.867       205
1.0         0.913       207
1.1         0.961       209
1.2         1.008       210
1.3         1.055       211
1.4         1.101       212
1.5         1.147       213
1.6         1.192       214
1.7         1.237       214
1.8         1.283       215
1.9         1.327       215
2.0         1.373       215
2.1         1.419       215
2.2         1.464       215
2.3         1.509       215
2.4         1.555       215
2.5         1.600       215
2.6         1.645       215
2.7         1.691       215
2.8         1.736       215
2.9         1.780       215
3.0         1.826       215
