#V_d [V]    W_rms [V]   W_freq [Hz]
0.0         0.471       196
0.1         0.384       165
0.2         0.406       157
0.3         0.466       166
0.4         0.523       177
0.5         0.560       186
0.6         0.612       192
0.7         0.660       198
0.8         0.700       202
0.9         0.743       206
1.0         0.791       209
1.1         0.839       211
1.2         0.886       213
1.3         0.931       215
1.4         0.974       216
1.5         1.025       217
1.6         1.061       218
1.7         1.102       219
1.8         1.146       220
1.9         1.189       221
2.0         1.233       221
2.1         1.276       222
2.2         1.320       222
2.3         1.365       222
2.4         1.410       223
2.5         1.453       223
2.6         1.498       223
2.7         1.543       224
2.8         1.589       224
2.9         1.634       224
3.0         1.680       224
