#V_d [V]    W_rms [V]   W_freq [Hz]
0.0         0.482       199
0.1         0.398       165
0.2         0.405       157
0.3         0.470       165
0.4         0.524       176
0.5         0.565       185
0.6         0.615       192
0.7         0.663       198
0.8         0.705       202
0.9         0.749       206
1.0         0.796       209
1.1         0.842       211
1.2         0.889       213
1.3         0.933       214
1.4         0.977       216
1.5         1.020       217
1.6         1.062       218
1.7         1.106       219
1.8         1.148       220
1.9         1.192       220
2.0         1.235       221
2.1         1.279       222
2.2         1.325       222
2.3         1.369       222
2.4         1.415       223
2.5         1.458       223
2.6         1.504       223
2.7         1.549       223
2.8         1.590       224
2.9         1.640       224
3.0         1.684       224
