#V_d [V]    f_V [Hz]    f_W [Hz]
0.0         167         165
0.1         159         159
0.2         169         169
0.3         179         179
0.4         187         187
0.5         193         193
0.6         199         199
0.7         204         204
0.8         207         207
0.9         210         210
1.0         211         211
1.1         212         212
1.2         211         211
1.3         211         211
1.4         212         212
1.5         214         214
1.6         217         217
1.7         219         219
1.8         221         221
1.9         223         223
2.0         225         225
2.1         227         227         
