#V_d [V]    f_V [Hz]    f_W [Hz]
0.0         83.7        82.3
0.1         93.9        93.0
0.2         100         102
0.3         110         111
0.4         122         122
0.5         126         127
0.6         131         132
0.7         134         134
0.8         137         137
0.9         142         141
1.0         143         142
1.1         143         140
1.2         140         142
1.3         141         142
1.4         145         141
1.5         146         143
1.6         147         148
1.7         150         148
1.8         153         152
1.9         155         153
2.0         155         156
2.1         157         160
2.2         161         160
