#V_d [V]    W_rms [V]   W_freq [Hz]
0.0         0.451       168
0.1         0.470       161
0.2         0.523       171
0.3         0.587       180
0.4         0.650       189
0.5         0.695       195
0.6         0.720       201
0.7         0.742       206
0.8         0.767       210
0.9         0.793       212
1.0         0.821       214
1.1         0.845       215
1.2         0.87        214
1.3         0.87        214
1.4         0.85        214
1.5         0.84        216
1.6         0.83        218
1.7         0.81        221
1.8         0.80        223
1.9         0.79        225
2.0         0.77        227
2.1         0.75        229
2.2         0.74        230
#2.3         
#2.4         
#2.5         
#2.6         
#2.7         
#2.8         
#2.9         
#3.0         
